,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
static_data__contributors__contributor__name__last_name,,VARCHAR(32),Berk,0.005394207090646132,1,16,,,Parodi,177,0.9946057929093539,0.07941704510325043,False,24,0.003459328460305672,0.01,False
static_data__fullrecord_metadata__references__reference__doi,,VARCHAR(64),10.7326/0003-4819-20-3-453,0.00017589805730367823,25,27,,,10.7326/0003-4819-11-9-1662,9,0.9998241019426963,0.002712466882045346,False,40,0.00017589805730367823,0.01,False
static_data__summary__pub_info__@part_no,,VARCHAR(4),1,0.0035179611460735643,1,3,,,1,9,0.9964820388539264,0.03661698722692452,False,4,0.00017589805730367823,0.01,False
static_data__summary__pub_info__@supplement,,VARCHAR(1),S,0.0003322518860180589,1,1,,,S,2,0.999667748113982,0.0038393150693888404,False,1,3.908845717859516e-05,0.01,False
static_data__item__keywords_plus__@count,,TINYINT UNSIGNED,10,0.0010944768010006645,1,10,,,1,10,0.9989055231989994,0.013598529670082075,False,254,0.00019544228589297581,0.01,False
static_data__item__keywords_plus__keyword,,VARCHAR(32),HISTOPLASMOSIS,0.00035179611460735646,3,20,,,HISTOPLASMOSIS,19,0.9996482038853927,0.005503110678447882,False,30,0.00037134034319665404,0.01,False
static_data__fullrecord_metadata__references__reference__citedTitle__i,,VARCHAR(32),Euphorbia dendroides,3.908845717859516e-05,8,20,,,Euphorbia dendroides,3,0.9999609115428214,0.0006114567420497646,False,30,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__references__reference__citedTitle__#text,,TEXT,"Insecticidal value of 
.",3.908845717859516e-05,24,108,,,"Insecticidal value of 
.",3,0.9999609115428214,0.0006114567420497646,False,162,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__references__reference__assignee,,VARCHAR(32),BALDWIN,5.863268576789274e-05,7,14,,,BALDWIN,4,0.9999413673142321,0.0009171851130746469,False,21,7.817691435719032e-05,0.01,False
static_data__fullrecord_metadata__references__reference__patent_no,,VARCHAR(16),GB 567501,7.817691435719032e-05,9,10,,,GB 567501,5,0.9999218230856428,0.0012229134840995293,False,15,9.772114294648791e-05,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__zip__@location,,VARCHAR(4),AC,1.954422858929758e-05,2,2,,,AC,2,0.9999804557714107,0.0003057283710248823,False,3,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__zip__#text,,TINYINT UNSIGNED,1,1.954422858929758e-05,1,1,,,1,2,0.9999804557714107,0.0003057283710248823,False,254,3.908845717859516e-05,0.01,False
